Codigo_cancion,Name_song,Genero,Artista,user_id,user_age,analisis,valid
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,514577593,18,6,1
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,210964221,40,6,1
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,115658979,25,6,1
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,440295695,15,6,1
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,494681716,16,6,1
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,446747853,16,6,1
10001,Perro Fiel,regueton,Shakira,459450208,21,5,1
10001,Perro Fiel,regueton,Shakira,3351446,24,5,1
10001,Perro Fiel,regueton,Shakira,401907766,30,5,1
10001,Perro Fiel,regueton,Shakira,5146610,26,5,1
10001,Perro Fiel,regueton,Shakira,499654551,18,5,1
10002,Criminal,regueton,Natti Natasha,500737046,27,5,1
10002,Criminal,regueton,Natti Natasha,8123457,26,5,1
10002,Criminal,regueton,Natti Natasha,545227712,15,5,1
10002,Criminal,regueton,Natti Natasha,528915415,45,5,1
10002,Criminal,regueton,Natti Natasha,522802705,48,5,1
10003,Corazón,regueton,Maluma,393673671,23,6,1
10003,Corazón,regueton,Maluma,511692637,15,6,1
10003,Corazón,regueton,Maluma,493889538,41,6,1
10003,Corazón,regueton,Maluma,12948877,46,6,1
10003,Corazón,regueton,Maluma,514577593,18,6,1
10003,Corazón,regueton,Maluma,281318875,26,6,1
10004,Mi Gente (feat. Beyoncé),regueton,J Balvin & Willy William,393042666,13,5,1
10004,Mi Gente (feat. Beyoncé),regueton,J Balvin & Willy William,4063874,37,5,1
10004,Mi Gente (feat. Beyoncé),regueton,J Balvin & Willy William,192224003,26,5,1
10004,Mi Gente (feat. Beyoncé),regueton,J Balvin & Willy William,15634977,31,5,1
10004,Mi Gente (feat. Beyoncé),regueton,J Balvin & Willy William,79831742,35,5,1
10005,Mayores,regueton,Becky G,500737046,27,6,1
10005,Mayores,regueton,Becky G,470682426,46,6,1
10005,Mayores,regueton,Becky G,4510614,35,6,1
10005,Mayores,regueton,Becky G,32849547,33,6,1
10005,Mayores,regueton,Becky G,281082907,15,6,1
10005,Mayores,regueton,Becky G,545227712,15,6,1
10006,Déjate Llevar,regueton,Juan Magán,388019140,16,5,1
10006,Déjate Llevar,regueton,Juan Magán,492729980,24,5,1
10006,Déjate Llevar,regueton,Juan Magán,313183839,69,5,1
10006,Déjate Llevar,regueton,Juan Magán,457933106,21,5,1
10006,Déjate Llevar,regueton,Juan Magán,931633,31,5,1
10007,Despacito,regueton,Luis Fonsi,513594025,51,5,1
10007,Despacito,regueton,Luis Fonsi,514577593,18,5,1
10007,Despacito,regueton,Luis Fonsi,444592711,41,5,1
10007,Despacito,regueton,Luis Fonsi,487930262,30,5,1
10007,Despacito,regueton,Luis Fonsi,565014673,16,5,1
10008,Súbeme La Radio,regueton,Enrique Iglesias,500737046,27,5,1
10008,Súbeme La Radio,regueton,Enrique Iglesias,77938606,33,5,1
10008,Súbeme La Radio,regueton,Enrique Iglesias,514577593,18,5,1
10008,Súbeme La Radio,regueton,Enrique Iglesias,457933106,21,5,1
10008,Súbeme La Radio,regueton,Enrique Iglesias,286966904,18,5,1
